,Player,Team,Age,Position,Score Type,Stoke Score,xG per 90 Percentile,Goals per 90 Percentile,Shots per 90 Percentile,Touches in box per 90 Percentile,xA per 90 Percentile,Aerial duels per 90 Percentile,xG per 90 Percentile (W),Goals per 90 Percentile (W),Shots per 90 Percentile (W),xA per 90 Percentile (W),Dribbles per 90 Percentile (W),Progressive runs per 90 Percentile (W),Passes to penalty area per 90 Percentile,xG per 90 Percentile (CAM),Goals per 90 Percentile (CAM),Shots per 90 Percentile (CAM),xA per 90 Percentile (CAM),League,Unnamed: 0
67,I. Kane,Vorskla,23.0,"RW, RAMF, LW",Winger,52.84,,,,,,,31.0,17.0,53.0,63.0,69.0,83.0,78.0,,,,,Ukrainian Premier League,67.0
68,Geovani,Oleksandria,22.0,"RWF, RW, RAMF",Winger,52.81,,,,,,,94.0,48.0,94.0,59.0,92.0,77.0,15.0,,,,,Ukrainian Premier League,68.0
69,B. Boychuk,Chornomorets,27.0,"LW, LAMF, CF",Winger,52.13,,,,,,,66.0,78.0,23.0,66.0,47.0,73.0,50.0,,,,,Ukrainian Premier League,69.0
70,V. Naumets,LNZ Cherkasy,24.0,RW,Winger,51.45,,,,,,,69.0,90.0,71.0,9.0,65.0,84.0,59.0,,,,,Ukrainian Premier League,70.0
71,V. Dmytrenko,Metalist 1925 Kharkiv,23.0,"LW, LAMF, RW",Winger,51.34,,,,,,,69.0,91.0,67.0,18.0,84.0,86.0,8.0,,,,,Ukrainian Premier League,71.0
72,V. Runich,Rukh Lviv,24.0,LW,Winger,50.86,,,,,,,95.0,99.0,82.0,45.0,45.0,45.0,10.0,,,,,Ukrainian Premier League,72.0
73,V. Tanchyk,Dnipro-1,32.0,"RWB, LW, RB",Winger,50.59,,,,,,,15.0,48.0,13.0,91.0,86.0,93.0,59.0,,,,,Ukrainian Premier League,73.0
74,H. Pasich,LNZ Cherkasy,30.0,"LW, LAMF",Winger,50.49,,,,,,,75.0,55.0,95.0,28.0,55.0,84.0,52.0,,,,,Ukrainian Premier League,74.0
75,V. Veleten,Kolos Kovalivka,21.0,"LWF, AMF, CF",Winger,49.89,,,,,,,56.0,60.0,55.0,28.0,95.0,95.0,94.0,,,,,Ukrainian Premier League,75.0
76,B. Lednev,Dnipro-1,25.0,"LW, LAMF",Winger,49.78,,,,,,,73.0,83.0,86.0,23.0,36.0,54.0,46.0,,,,,Ukrainian Premier League,76.0
77,V. Hrytsuk,Polissya,36.0,AMF,Winger,48.86,,,,,,,99.0,87.0,59.0,80.0,18.0,9.0,70.0,,,,,Ukrainian Premier League,77.0
78,V. Kalitvintsev,Oleksandria,31.0,"RW, LW, RAMF",Winger,47.42,,,,,,,20.0,17.0,74.0,94.0,67.0,37.0,100.0,,,,,Ukrainian Premier League,78.0
79,V. Sharay,Veres,26.0,"LW, RAMF",Winger,46.06,,,,,,,53.0,48.0,66.0,93.0,15.0,39.0,26.0,,,,,Ukrainian Premier League,79.0
80,V. Solomon-Otabor,Rukh Lviv,28.0,"LW, LAMF",Winger,45.46,,,,,,,37.0,17.0,31.0,28.0,99.0,97.0,95.0,,,,,Ukrainian Premier League,80.0
81,Talles,Rukh Lviv,25.0,"RCMF, CF, AMF",Winger,44.51,,,,,,,97.0,48.0,98.0,74.0,38.0,26.0,42.0,,,,,Ukrainian Premier League,81.0
82,M. Lunyov,Kryvbas KR,25.0,"AMF, CF",Winger,44.48,,,,,,,59.0,60.0,35.0,80.0,77.0,20.0,37.0,,,,,Ukrainian Premier League,82.0
83,R. Rusyn,Metalist 1925 Kharkiv,28.0,"RW, RWF, RAMF",Winger,44.44,,,,,,,37.0,63.0,38.0,34.0,61.0,64.0,49.0,,,,,Ukrainian Premier League,83.0
84,A. Boryachuk,Metalist 1925 Kharkiv,27.0,"CF, AMF",Winger,43.25,,,,,,,98.0,93.0,84.0,40.0,33.0,12.0,3.0,,,,,Ukrainian Premier League,84.0
85,Felipe Rodrigues,Vorskla,28.0,"CF, LAMF, LW",Winger,42.84,,,,,,,90.0,83.0,47.0,9.0,76.0,24.0,24.0,,,,,Ukrainian Premier League,85.0
86,A. Bliznichenko,,29.0,"RW, AMF",Winger,42.78,,,,,,,43.0,66.0,94.0,89.0,49.0,31.0,64.0,,,,,Ukrainian Premier League,86.0
87,Arielson,Polissya,19.0,"CF, AMF",Winger,42.08,,,,,,,66.0,37.0,88.0,85.0,56.0,14.0,21.0,,,,,Ukrainian Premier League,87.0
88,D. Sikan,Shakhtar Donetsk,22.0,"CF, AMF",Winger,40.92,,,,,,,81.0,73.0,78.0,23.0,20.0,41.0,3.0,,,,,Ukrainian Premier League,88.0
89,D. Khomchenovskyi,Kryvbas KR,33.0,"LAMF, LW",Winger,40.83,,,,,,,90.0,34.0,64.0,53.0,24.0,48.0,40.0,,,,,Ukrainian Premier League,89.0
90,D. Yusov,Metalist 1925 Kharkiv,30.0,LW,Winger,40.58,,,,,,,84.0,81.0,87.0,3.0,45.0,18.0,28.0,,,,,Ukrainian Premier League,90.0
91,M. Bragaru,Chornomorets,21.0,"LB, LWB, RAMF",Winger,40.52,,,,,,,15.0,17.0,36.0,23.0,91.0,98.0,16.0,,,,,Ukrainian Premier League,91.0
92,Iago Siqueira,Veres,23.0,"CF, AMF, LCMF",Winger,40.27,,,,,,,87.0,52.0,80.0,9.0,61.0,33.0,6.0,,,,,Ukrainian Premier League,92.0
93,I. Kyryukhantsev,Zorya,28.0,"RB, RW",Winger,39.77,,,,,,,15.0,17.0,30.0,34.0,81.0,74.0,65.0,,,,,Ukrainian Premier League,93.0
94,Newerton,Shakhtar Donetsk,18.0,"LW, LWF",Winger,38.24,,,,,,,26.0,17.0,51.0,34.0,83.0,99.0,87.0,,,,,Ukrainian Premier League,94.0
95,A. Salabay,Kolos Kovalivka,21.0,"CF, AMF",Winger,37.98,,,,,,,78.0,60.0,58.0,18.0,64.0,64.0,12.0,,,,,Ukrainian Premier League,95.0
96,V. Grusha,Obolon,29.0,"LW, CF, LCMF",Winger,37.4,,,,,,,24.0,17.0,82.0,40.0,93.0,67.0,86.0,,,,,Ukrainian Premier League,96.0
97,A. Batsula,Vorskla,32.0,"LB, LW, LAMF",Winger,37.39,,,,,,,10.0,17.0,10.0,85.0,33.0,45.0,98.0,,,,,Ukrainian Premier League,97.0
98,V. Yurchenko,Metalist 1925 Kharkiv,30.0,"AMF, DMF, LCMF",Winger,37.04,,,,,,,48.0,69.0,20.0,53.0,6.0,34.0,36.0,,,,,Ukrainian Premier League,98.0
99,Ari Moura,Metalist 1925 Kharkiv,27.0,"RW, RAMF",Winger,36.65,,,,,,,20.0,51.0,41.0,40.0,87.0,57.0,19.0,,,,,Ukrainian Premier League,99.0
100,Z. Badibanga,Chornomorets,32.0,"RWB, RW, RAMF",Winger,36.52,,,,,,,20.0,42.0,14.0,53.0,31.0,72.0,76.0,,,,,Ukrainian Premier League,100.0
101,M. Ghecev,,26.0,"RW, RAMF",Winger,36.41,,,,,,,7.0,17.0,17.0,69.0,79.0,54.0,93.0,,,,,Ukrainian Premier League,101.0
102,T. Korablin,Minaj,22.0,"RCMF, LAMF, RW",Winger,36.41,,,,,,,28.0,17.0,58.0,63.0,74.0,71.0,46.0,,,,,Ukrainian Premier League,102.0
103,D. Teslyuk,Rukh Lviv,20.0,"RW, CF",Winger,35.21,,,,,,,71.0,42.0,56.0,13.0,63.0,43.0,31.0,,,,,Ukrainian Premier League,103.0
104,D. Alefirenko,Zorya,23.0,"LW, LAMF, CF",Winger,34.94,,,,,,,24.0,42.0,50.0,3.0,78.0,69.0,66.0,,,,,Ukrainian Premier League,104.0
105,R. Debelko,Kryvbas KR,30.0,"CF, AMF, LCMF",Winger,34.56,,,,,,,53.0,48.0,27.0,69.0,18.0,45.0,9.0,,,,,Ukrainian Premier League,105.0
106,I. Nesterenko,Vorskla,20.0,"LCMF, CF, AMF",Winger,34.25,,,,,,,37.0,60.0,24.0,3.0,49.0,59.0,19.0,,,,,Ukrainian Premier League,106.0
107,E. Tverdokhlib,Kryvbas KR,23.0,"LW, CF, AMF",Winger,34.01,,,,,,,62.0,37.0,44.0,28.0,26.0,20.0,27.0,,,,,Ukrainian Premier League,107.0
108,A. Savin,LNZ Cherkasy,33.0,"LW, RB, LB",Winger,33.97,,,,,,,43.0,17.0,47.0,59.0,40.0,49.0,73.0,,,,,Ukrainian Premier League,108.0
109,D. Oliynyk,LNZ Cherkasy,36.0,"LCMF, AMF, RCMF",Winger,33.85,,,,,,,48.0,34.0,76.0,53.0,41.0,35.0,17.0,,,,,Ukrainian Premier League,109.0
110,I. Gorbach,Zorya,19.0,"LW, LAMF, LWF",Winger,33.66,,,,,,,78.0,17.0,92.0,3.0,80.0,56.0,48.0,,,,,Ukrainian Premier League,110.0
111,D. Nagnoynyi,Zorya,22.0,"LCMF, AMF, LDMF",Winger,33.44,,,,,,,43.0,42.0,40.0,69.0,21.0,29.0,38.0,,,,,Ukrainian Premier League,111.0
112,V. Voloshyn,Zorya,22.0,"RCMF, AMF, RW",Winger,33.19,,,,,,,43.0,66.0,90.0,76.0,23.0,3.0,35.0,,,,,Ukrainian Premier League,112.0
113,D. Miroshnichenko,Dnipro-1,29.0,"LB, RAMF",Winger,33.1,,,,,,,20.0,39.0,33.0,76.0,13.0,39.0,54.0,,,,,Ukrainian Premier League,113.0
114,I. Medynskyi,Obolon,31.0,"RW, RB, RWB",Winger,31.45,,,,,,,31.0,17.0,9.0,45.0,26.0,51.0,67.0,,,,,Ukrainian Premier League,114.0
115,O. Ilyin,Kolos Kovalivka,26.0,"RWF, RWB, RW",Winger,30.71,,,,,,,15.0,17.0,22.0,53.0,52.0,66.0,60.0,,,,,Ukrainian Premier League,115.0
116,S. Sharay,Veres,26.0,"AMF, LCMF, RCMF",Winger,30.02,,,,,,,53.0,87.0,43.0,34.0,3.0,1.0,30.0,,,,,Ukrainian Premier League,116.0
117,E. Gunichev,Minaj,20.0,"CF, RW",Winger,29.38,,,,,,,59.0,76.0,29.0,18.0,16.0,8.0,14.0,,,,,Ukrainian Premier League,117.0
118,V. Shepelev,Dynamo Kyiv,26.0,"LCMF, LDMF, AMF",Winger,27.67,,,,,,,10.0,17.0,6.0,34.0,57.0,87.0,30.0,,,,,Ukrainian Premier League,118.0
119,V. Odaryuk,,29.0,"RW, RB, LW",Winger,27.06,,,,,,,34.0,17.0,33.0,18.0,43.0,23.0,69.0,,,,,Ukrainian Premier League,119.0
120,D. Nagiyev,Obolon,28.0,"RB, RW",Winger,21.81,,,,,,,4.0,17.0,3.0,45.0,8.0,51.0,62.0,,,,,Ukrainian Premier League,120.0
121,V. Rogozinskyi,Minaj,28.0,"LW, LB",Winger,21.68,,,,,,,10.0,17.0,16.0,59.0,12.0,15.0,51.0,,,,,Ukrainian Premier League,121.0
122,Y. Vakulko,Kryvbas KR,26.0,"LCMF, AMF, RAMF",Winger,21.43,,,,,,,1.0,17.0,1.0,40.0,35.0,18.0,79.0,,,,,Ukrainian Premier League,122.0
123,O. Prytula,Rukh Lviv,23.0,"AMF, RCMF",Winger,21.31,,,,,,,37.0,17.0,26.0,48.0,10.0,16.0,63.0,,,,,Ukrainian Premier League,123.0
124,M. Shestakov,Veres,33.0,"RW, CF, RWF",Winger,20.21,,,,,,,48.0,39.0,15.0,9.0,9.0,22.0,13.0,,,,,Ukrainian Premier League,124.0
125,V. Gakman,Veres,23.0,"RB, RW",Winger,19.78,,,,,,,4.0,17.0,8.0,53.0,13.0,10.0,57.0,,,,,Ukrainian Premier League,125.0
126,K. Kovalets,Oleksandria,30.0,"AMF, CF",Winger,19.56,,,,,,,59.0,17.0,37.0,9.0,37.0,6.0,33.0,,,,,Ukrainian Premier League,126.0
127,D. Myshnov,Zorya,30.0,"LCMF, AMF, RDMF",Winger,18.21,,,,,,,15.0,17.0,21.0,40.0,8.0,13.0,41.0,,,,,Ukrainian Premier League,127.0
128,N. Yakubu,Vorskla,23.0,"LW, LAMF, LB",Winger,17.27,,,,,,,7.0,17.0,2.0,18.0,30.0,28.0,33.0,,,,,Ukrainian Premier League,128.0
129,D. Fateev,Mariupol,29.0,"RB, RWB, RW",Winger,13.67,,,,,,,62.0,17.0,12.0,3.0,1.0,2.0,23.0,,,,,Ukrainian Premier League,129.0
130,O. Slobodyan,Obolon,27.0,"AMF, CF, LCMF",Winger,9.9,,,,,,,7.0,17.0,7.0,28.0,2.0,5.0,5.0,,,,,Ukrainian Premier League,130.0
131,A. Tkachuk,Metalist 1925 Kharkiv,36.0,"RCMF, LCMF, AMF",Winger,8.35,,,,,,,2.0,17.0,5.0,18.0,5.0,6.0,1.0,,,,,Ukrainian Premier League,131.0
132,O. Zubkov,Shakhtar Donetsk,27.0,"RW, RWF, RAMF",Attacking Midfield,90.06,,,,,,,,,,,,,,91.0,80.0,100.0,96.0,Ukrainian Premier League,132.0
133,I. Kvasnytsya,Rukh Lviv,20.0,"RW, RAMF",Attacking Midfield,74.7,,,,,,,,,,,,,,63.0,96.0,55.0,99.0,Ukrainian Premier League,133.0
134,M. Zaderaka,Kryvbas KR,29.0,"RAMF, LW, LAMF",Attacking Midfield,74.47,,,,,,,,,,,,,,72.0,85.0,78.0,76.0,Ukrainian Premier League,134.0
135,A. Yarmolenko,Dynamo Kyiv,34.0,"RAMF, RW",Attacking Midfield,74.03,,,,,,,,,,,,,,100.0,100.0,99.0,97.0,Ukrainian Premier League,135.0
136,D. Antyukh,Zorya,26.0,"RAMF, RW, LW",Attacking Midfield,73.15,,,,,,,,,,,,,,81.0,50.0,82.0,83.0,Ukrainian Premier League,136.0
137,V. Buyalskyi,Dynamo Kyiv,31.0,"AMF, RCMF",Attacking Midfield,69.81,,,,,,,,,,,,,,93.0,96.0,57.0,100.0,Ukrainian Premier League,137.0
138,B. Makouana,Polissya,21.0,"LAMF, LW",Attacking Midfield,66.37,,,,,,,,,,,,,,69.0,72.0,67.0,46.0,Ukrainian Premier League,138.0
139,O. Pikhalyonok,Dnipro-1,26.0,"AMF, CF, RCMF",Attacking Midfield,64.68,,,,,,,,,,,,,,50.0,50.0,42.0,90.0,Ukrainian Premier League,139.0
140,A. Shulyanskyi,Oleksandria,22.0,"LW, LWF, LAMF",Attacking Midfield,60.71,,,,,,,,,,,,,,63.0,75.0,61.0,54.0,Ukrainian Premier League,140.0
141,O. Kuzyk,Chornomorets,28.0,"AMF, RCMF",Attacking Midfield,59.78,,,,,,,,,,,,,,40.0,70.0,45.0,68.0,Ukrainian Premier League,141.0
142,N. Voloshyn,Dynamo Kyiv,20.0,"LAMF, LW, RW",Attacking Midfield,59.38,,,,,,,,,,,,,,82.0,96.0,69.0,41.0,Ukrainian Premier League,142.0
143,O. Gutsulyak,Dnipro-1,26.0,"RW, RAMF, CF",Attacking Midfield,58.88,,,,,,,,,,,,,,84.0,90.0,88.0,39.0,Ukrainian Premier League,143.0
144,A. Plumain,Rukh Lviv,28.0,"LCMF, RW, AMF",Attacking Midfield,58.83,,,,,,,,,,,,,,45.0,60.0,71.0,94.0,Ukrainian Premier League,144.0
145,O. Karavaev,Dynamo Kyiv,31.0,"RB, RAMF, RW",Attacking Midfield,57.93,,,,,,,,,,,,,,87.0,67.0,66.0,83.0,Ukrainian Premier League,145.0
146,V. Kabaev,Dynamo Kyiv,28.0,"LAMF, LW",Attacking Midfield,56.82,,,,,,,,,,,,,,33.0,50.0,58.0,76.0,Ukrainian Premier League,146.0
147,A. Kozak,Polissya,25.0,"RAMF, RW, RWF",Attacking Midfield,56.79,,,,,,,,,,,,,,28.0,67.0,74.0,76.0,Ukrainian Premier League,147.0
148,D. Kuzyk,Kryvbas KR,21.0,"RW, RAMF",Attacking Midfield,56.76,,,,,,,,,,,,,,25.0,76.0,37.0,87.0,Ukrainian Premier League,148.0
149,S. Myakushko,Vorskla,30.0,"LWF, AMF",Attacking Midfield,56.3,,,,,,,,,,,,,,57.0,13.0,96.0,65.0,Ukrainian Premier League,149.0
150,S. Shestakov,LNZ Cherkasy,33.0,"RW, LW, RAMF",Attacking Midfield,54.61,,,,,,,,,,,,,,22.0,80.0,13.0,57.0,Ukrainian Premier League,150.0
151,I. Kane,Vorskla,23.0,"RW, RAMF, LW",Attacking Midfield,54.16,,,,,,,,,,,,,,28.0,13.0,48.0,54.0,Ukrainian Premier League,151.0
152,V. Kalitvintsev,Oleksandria,31.0,"RW, LW, RAMF",Attacking Midfield,53.29,,,,,,,,,,,,,,17.0,13.0,71.0,93.0,Ukrainian Premier League,152.0
153,O. Kashchuk,Shakhtar Donetsk,23.0,"LW, LAMF, LWF",Attacking Midfield,52.02,,,,,,,,,,,,,,76.0,99.0,23.0,65.0,Ukrainian Premier League,153.0
154,H. Pasich,LNZ Cherkasy,30.0,"LW, LAMF",Attacking Midfield,51.92,,,,,,,,,,,,,,72.0,50.0,94.0,24.0,Ukrainian Premier League,154.0
155,V. Hrytsuk,Polissya,36.0,AMF,Attacking Midfield,50.95,,,,,,,,,,,,,,99.0,87.0,54.0,76.0,Ukrainian Premier League,155.0
156,V. Veleten,Kolos Kovalivka,21.0,"LWF, AMF, CF",Attacking Midfield,50.52,,,,,,,,,,,,,,54.0,56.0,49.0,24.0,Ukrainian Premier League,156.0
157,B. Boychuk,Chornomorets,27.0,"LW, LAMF, CF",Attacking Midfield,50.08,,,,,,,,,,,,,,63.0,78.0,18.0,57.0,Ukrainian Premier League,157.0
158,V. Solomon-Otabor,Rukh Lviv,28.0,"LW, LAMF",Attacking Midfield,49.98,,,,,,,,,,,,,,33.0,13.0,25.0,24.0,Ukrainian Premier League,158.0
159,Geovani,Oleksandria,22.0,"RWF, RW, RAMF",Attacking Midfield,49.71,,,,,,,,,,,,,,93.0,41.0,92.0,51.0,Ukrainian Premier League,159.0
160,B. Lednev,Dnipro-1,25.0,"LW, LAMF",Attacking Midfield,48.32,,,,,,,,,,,,,,69.0,83.0,84.0,18.0,Ukrainian Premier League,160.0
161,V. Dmytrenko,Metalist 1925 Kharkiv,23.0,"LW, LAMF, RW",Attacking Midfield,47.0,,,,,,,,,,,,,,67.0,91.0,64.0,13.0,Ukrainian Premier League,161.0
162,R. Rusyn,Metalist 1925 Kharkiv,28.0,"RW, RWF, RAMF",Attacking Midfield,46.57,,,,,,,,,,,,,,33.0,60.0,33.0,30.0,Ukrainian Premier League,162.0
163,A. Bliznichenko,,29.0,"RW, AMF",Attacking Midfield,45.49,,,,,,,,,,,,,,40.0,63.0,92.0,87.0,Ukrainian Premier League,163.0
164,Talles,Rukh Lviv,25.0,"RCMF, CF, AMF",Attacking Midfield,44.43,,,,,,,,,,,,,,96.0,41.0,97.0,68.0,Ukrainian Premier League,164.0
165,A. Batsula,Vorskla,32.0,"LB, LW, LAMF",Attacking Midfield,44.2,,,,,,,,,,,,,,10.0,13.0,9.0,83.0,Ukrainian Premier League,165.0
166,M. Bragaru,Chornomorets,21.0,"LB, LWB, RAMF",Attacking Midfield,42.66,,,,,,,,,,,,,,13.0,13.0,30.0,18.0,Ukrainian Premier League,166.0
167,V. Sharay,Veres,26.0,"LW, RAMF",Attacking Midfield,42.59,,,,,,,,,,,,,,50.0,41.0,63.0,91.0,Ukrainian Premier League,167.0
168,M. Lunyov,Kryvbas KR,25.0,"AMF, CF",Attacking Midfield,41.96,,,,,,,,,,,,,,57.0,56.0,28.0,76.0,Ukrainian Premier League,168.0
169,D. Khomchenovskyi,Kryvbas KR,33.0,"LAMF, LW",Attacking Midfield,40.66,,,,,,,,,,,,,,89.0,28.0,60.0,46.0,Ukrainian Premier League,169.0
170,Felipe Rodrigues,Vorskla,28.0,"CF, LAMF, LW",Attacking Midfield,39.15,,,,,,,,,,,,,,89.0,83.0,43.0,7.0,Ukrainian Premier League,170.0
171,A. Boryachuk,Metalist 1925 Kharkiv,27.0,"CF, AMF",Attacking Midfield,39.01,,,,,,,,,,,,,,97.0,93.0,81.0,35.0,Ukrainian Premier League,171.0
172,Z. Badibanga,Chornomorets,32.0,"RWB, RW, RAMF",Attacking Midfield,38.87,,,,,,,,,,,,,,17.0,36.0,10.0,46.0,Ukrainian Premier League,172.0
173,V. Yurchenko,Metalist 1925 Kharkiv,30.0,"AMF, DMF, LCMF",Attacking Midfield,38.75,,,,,,,,,,,,,,45.0,67.0,15.0,46.0,Ukrainian Premier League,173.0
174,Arielson,Polissya,19.0,"CF, AMF",Attacking Midfield,38.12,,,,,,,,,,,,,,63.0,31.0,85.0,83.0,Ukrainian Premier League,174.0
175,D. Miroshnichenko,Dnipro-1,29.0,"LB, RAMF",Attacking Midfield,37.8,,,,,,,,,,,,,,17.0,33.0,27.0,71.0,Ukrainian Premier League,175.0
176,T. Korablin,Minaj,22.0,"RCMF, LAMF, RW",Attacking Midfield,37.42,,,,,,,,,,,,,,25.0,13.0,51.0,54.0,Ukrainian Premier League,176.0
177,M. Ghecev,,26.0,"RW, RAMF",Attacking Midfield,37.06,,,,,,,,,,,,,,6.0,13.0,12.0,61.0,Ukrainian Premier League,177.0
178,Iago Siqueira,Veres,23.0,"CF, AMF, LCMF",Attacking Midfield,36.14,,,,,,,,,,,,,,84.0,46.0,79.0,7.0,Ukrainian Premier League,178.0
179,Ari Moura,Metalist 1925 Kharkiv,27.0,"RW, RAMF",Attacking Midfield,35.62,,,,,,,,,,,,,,17.0,45.0,36.0,35.0,Ukrainian Premier League,179.0
180,D. Sikan,Shakhtar Donetsk,22.0,"CF, AMF",Attacking Midfield,35.61,,,,,,,,,,,,,,79.0,72.0,76.0,18.0,Ukrainian Premier League,180.0
181,D. Alefirenko,Zorya,23.0,"LW, LAMF, CF",Attacking Midfield,35.06,,,,,,,,,,,,,,21.0,36.0,46.0,3.0,Ukrainian Premier League,181.0
182,A. Salabay,Kolos Kovalivka,21.0,"CF, AMF",Attacking Midfield,33.69,,,,,,,,,,,,,,76.0,56.0,51.0,13.0,Ukrainian Premier League,182.0
183,I. Gorbach,Zorya,19.0,"LW, LAMF, LWF",Attacking Midfield,33.24,,,,,,,,,,,,,,76.0,13.0,90.0,3.0,Ukrainian Premier League,183.0
184,D. Oliynyk,LNZ Cherkasy,36.0,"LCMF, AMF, RCMF",Attacking Midfield,32.84,,,,,,,,,,,,,,45.0,28.0,74.0,46.0,Ukrainian Premier League,184.0
185,D. Nagnoynyi,Zorya,22.0,"LCMF, AMF, LDMF",Attacking Midfield,32.2,,,,,,,,,,,,,,40.0,36.0,34.0,61.0,Ukrainian Premier League,185.0
186,I. Nesterenko,Vorskla,20.0,"LCMF, CF, AMF",Attacking Midfield,32.11,,,,,,,,,,,,,,33.0,56.0,19.0,3.0,Ukrainian Premier League,186.0
187,V. Voloshyn,Zorya,22.0,"RCMF, AMF, RW",Attacking Midfield,31.64,,,,,,,,,,,,,,40.0,63.0,87.0,71.0,Ukrainian Premier League,187.0
188,R. Debelko,Kryvbas KR,30.0,"CF, AMF, LCMF",Attacking Midfield,31.11,,,,,,,,,,,,,,50.0,41.0,23.0,61.0,Ukrainian Premier League,188.0
189,E. Tverdokhlib,Kryvbas KR,23.0,"LW, CF, AMF",Attacking Midfield,31.01,,,,,,,,,,,,,,60.0,31.0,40.0,24.0,Ukrainian Premier League,189.0
190,V. Shepelev,Dynamo Kyiv,26.0,"LCMF, LDMF, AMF",Attacking Midfield,29.12,,,,,,,,,,,,,,10.0,13.0,6.0,30.0,Ukrainian Premier League,190.0
191,S. Sharay,Veres,26.0,"AMF, LCMF, RCMF",Attacking Midfield,27.31,,,,,,,,,,,,,,50.0,87.0,39.0,30.0,Ukrainian Premier League,191.0
192,Y. Vakulko,Kryvbas KR,26.0,"LCMF, AMF, RAMF",Attacking Midfield,24.94,,,,,,,,,,,,,,1.0,13.0,1.0,35.0,Ukrainian Premier League,192.0
193,D. Myshnov,Zorya,30.0,"LCMF, AMF, RDMF",Attacking Midfield,23.19,,,,,,,,,,,,,,13.0,13.0,16.0,35.0,Ukrainian Premier League,193.0
194,O. Prytula,Rukh Lviv,23.0,"AMF, RCMF",Attacking Midfield,22.48,,,,,,,,,,,,,,33.0,13.0,21.0,41.0,Ukrainian Premier League,194.0
195,K. Kovalets,Oleksandria,30.0,"AMF, CF",Attacking Midfield,19.14,,,,,,,,,,,,,,57.0,13.0,31.0,7.0,Ukrainian Premier League,195.0
196,N. Yakubu,Vorskla,23.0,"LW, LAMF, LB",Attacking Midfield,17.96,,,,,,,,,,,,,,6.0,13.0,3.0,13.0,Ukrainian Premier League,196.0
197,A. Tkachuk,Metalist 1925 Kharkiv,36.0,"RCMF, LCMF, AMF",Attacking Midfield,11.18,,,,,,,,,,,,,,3.0,13.0,4.0,13.0,Ukrainian Premier League,197.0
198,O. Slobodyan,Obolon,27.0,"AMF, CF, LCMF",Attacking Midfield,8.56,,,,,,,,,,,,,,6.0,13.0,7.0,24.0,Ukrainian Premier League,198.0
0,M. Coda,Cremonese,35.0,CF,Striker,74.51,99.0,99.0,100.0,97.0,65.0,59.0,,,,,,,,,,,,Italian Serie B,0.0
1,G. Tutino,Cosenza,27.0,CF,Striker,66.26,92.0,93.0,59.0,72.0,58.0,48.0,,,,,,,,,,,,Italian Serie B,1.0
2,L. Pandolfi,Cittadella,25.0,CF,Striker,64.98,94.0,96.0,96.0,94.0,49.0,81.0,,,,,,,,,,,,Italian Serie B,2.0
3,A. Gabrielloni,Como,29.0,CF,Striker,64.47,96.0,77.0,99.0,100.0,65.0,85.0,,,,,,,,,,,,Italian Serie B,3.0
4,P. Cutrone,Como,26.0,CF,Striker,64.21,78.0,84.0,95.0,91.0,53.0,44.0,,,,,,,,,,,,Italian Serie B,4.0
5,J. Pohjanpalo,Venezia,29.0,CF,Striker,62.27,97.0,100.0,89.0,68.0,22.0,62.0,,,,,,,,,,,,Italian Serie B,5.0
6,C. Gytkjær,Venezia,33.0,CF,Striker,60.3,78.0,96.0,38.0,77.0,75.0,80.0,,,,,,,,,,,,Italian Serie B,6.0
7,G. Sibilli,Bari,27.0,"AMF, LWF, CF",Striker,57.95,52.0,84.0,77.0,48.0,86.0,18.0,,,,,,,,,,,,Italian Serie B,7.0
8,F. Borini,Sampdoria,32.0,"CF, AMF, LWF",Striker,56.82,100.0,84.0,68.0,70.0,75.0,27.0,,,,,,,,,,,,Italian Serie B,8.0
9,A. Raimondo,Ternana,19.0,CF,Striker,56.71,81.0,81.0,85.0,71.0,22.0,76.0,,,,,,,,,,,,Italian Serie B,9.0
10,F. Distefano,Ternana,20.0,"CF, AMF",Striker,56.62,66.0,77.0,82.0,87.0,92.0,59.0,,,,,,,,,,,,Italian Serie B,10.0
11,A. Benedyczak,Parma,23.0,"LAMF, LW, CF",Striker,56.36,88.0,96.0,42.0,84.0,32.0,68.0,,,,,,,,,,,,Italian Serie B,11.0
12,P. Iemmello,Catanzaro,31.0,CF,Striker,54.98,82.0,77.0,59.0,61.0,72.0,13.0,,,,,,,,,,,,Italian Serie B,12.0
13,A. Novakovich,Lecco,27.0,CF,Striker,54.83,88.0,49.0,52.0,63.0,42.0,86.0,,,,,,,,,,,,Italian Serie B,13.0
14,M. Brunori,Palermo,29.0,CF,Striker,54.73,72.0,77.0,71.0,96.0,32.0,24.0,,,,,,,,,,,,Italian Serie B,14.0
15,N. Buso,Lecco,24.0,"LW, LWF, CF",Striker,52.85,78.0,62.0,82.0,61.0,58.0,32.0,,,,,,,,,,,,Italian Serie B,15.0
16,F. Pittarello,Cittadella,27.0,CF,Striker,52.37,72.0,39.0,39.0,92.0,72.0,63.0,,,,,,,,,,,,Italian Serie B,16.0
17,M. Valoti,Pisa,30.0,"AMF, CF, LCMF",Striker,51.44,85.0,93.0,82.0,14.0,42.0,33.0,,,,,,,,,,,,Italian Serie B,17.0
18,L. Mancuso,Palermo,31.0,"LAMF, LWF, CF",Striker,50.84,63.0,73.0,87.0,99.0,86.0,42.0,,,,,,,,,,,,Italian Serie B,18.0
